Office	SuperiorOffice	OfficeType	City	RegionType	Status
Dte-EM	Org-EMO	Directorate	New Delhi	Headquarter	Active
SD-PPSD Nalbari	Div-MBD Guwahati	Sub Div	Nalbari	Regional	Active
SD-JSD Jang	Div-NEID III Itanagar	Sub Div	Tawang	Regional	Active
Div-SID Gangtok	Cir-IC Gangtok	Division	Gangtok	Regional	Active
SD-ISD 1 West Sikkim	Div-SID Gangtok	Sub Div	Gyalshing	Regional	Active
Dte-TC	HRM	Directorate	New Delhi	Headquarter	Active
Cir-NEIC Cum Mon Dte Shillong	Org-BOBO Shillong	Circle	East Khasi Hills	Regional	Active
SD-UWSD Nagpur	Div-WD Nagpur	Sub Div	Nagpur	Regional	Active
Div-UGD Hyderabad	Cir-GC Hyderabad	Division	Hyderabad	Regional	Active
SD-UGSD Aurangabad	Div-UGD Hyderabad	Sub Div	Aurangabad	Regional	Active
SD-LSMGSD Patna	Div-LGD 2 Patna	Sub Div	Patna	Regional	Active
Dte-DSM	Org-DSO	Directorate	New Delhi	Headquarter	Active
SD-UBSD Pune	Div-UKD Pune	Sub Div	Pune	Regional	Active
Dte-CA(Irrigation 2)	Org-PAO	Directorate	New Delhi	Headquarter	Active
Div-NEID I Silchar	Cir-NEIC Cum Mon Dte Shillong	Division	Cachar	Regional	Active
Org-LGBO Patna	MEMBER(RM)	Org	Patna	Regional	Active
Org-MERO Bhubaneswar	MEMBER(RM)	Org	Khordha	Regional	Active
Dte-IPO	Org-POMIO	Directorate	New Delhi	Headquarter	Active
Cir-HOC Vaishali	Org-YBO New Delhi	Circle	Vaishali	Regional	Active
Dte-FM 1	Org-FMO	Directorate	New Delhi	Headquarter	Active
Dte-FFM	Org-FMO	Directorate	New Delhi	Headquarter	Active
SECRETARY(CWC)	HRM	Directorate	New Delhi	Headquarter	Active
Cir-PC Faridabad	Org-YBO New Delhi	Circle	Faridabad	Regional	Active
Div-SHD Shimla	Dte-M&A Shimla	Division	Shimla	Regional	Active
Div-HGD Haridwar	Cir-HOC Dehradun	Division	Haridwar	Regional	Active
Dte-IP(S)	Org-IMO	Directorate	New Delhi	Headquarter	Active
Org-IBO Chandigarh	MEMBER(RM)	Org	Chandigarh	Regional	Active
Div-ERD Bhubaneswar	Cir-HOC Bhubaneswar	Division	Khordha	Regional	Active
Cir-KCC Hyderabad	Org-KGBO Hyderabad	Circle	Hyderabad	Regional	Active
NWA-PUNE	CHAIRMAN Office	Org	Pune	Regional	Active
Div-WD Nagpur	Cor-SE(C) Nagpur	Division	Nagpur	Regional	Active
Org-NBO Bhopal	MEMBER(RM)	Org	Bhopal	Regional	Active
SD-NSD 2 Jammu	Div- CD Jammu	Sub Div	Jammu	Regional	Active
SD-MNSD 2 Bhopal	Div-ND Bhopal	Sub Div	Bhopal	Regional	Active
Org-MTBO Gandhinagar	MEMBER(RM)	Org	Gandhinagar	Regional	Active
Vigilance Section	SECRETARY(CWC)	Directorate	New Delhi	Headquarter	Active
SD-UTSD Bhusawal	Div-TD Surat	Sub Div	Jalgaon	Regional	Active
Div-UYD New Delhi	Cir-HOC Noida	Division	New Delhi	Headquarter	Active
Div-CD Jaipur	Cir-HOC Noida	Division	Jaipur	Regional	Active
SD-KSD Banda	Div-LYD Agra	Sub Div	Banda	Regional	Active
SD-MISD 3 Silchar	Div-MID Shillong	Sub Div	Cachar	Regional	Active
Div-UKD Pune	Cir-KCC Hyderabad	Division	Pune	Regional	Active
Div-LGD 1 Patna	Dte-MON Patna	Division	Patna	Regional	Active
SD-MGURSD Moradabad	Div-MGD 2 Lucknow	Sub Div	Moradabad	Regional	Active
Dte-NP	Org-PPO	Directorate	New Delhi	Headquarter	Active
SD-NSD 1 Jammu	Div- CD Jammu	Sub Div	Jammu	Regional	Active
Div-LBD Jalpaiguri	Cir-IC Gangtok	Division	Jalpaiguri	Regional	Active
Org-TBDBO Kolkata	MEMBER(RM)	Org	Kolkata	Regional	Active
Div-LGD 3 Berhampore	Cir-HOC Maithon	Division	Murshidabad	Regional	Active
Div-UBD Dibrugarh	Cir-HO&IC Guwahati	Division	Dibrugarh	Regional	Active
SD-UBSD Maithon	Div-DD Asansol	Sub Div	Dhanbad	Regional	Active
Div-TD Surat	Cir-HOC Gandhinagar	Division	Surat	Regional	Active
Div-LKD Hyderabad	Cir-KCC Hyderabad	Division	Hyderabad	Regional	Active
SD-MSD Guwahati	Div-MBD Guwahati	Sub Div	Kamrup Metro	Regional	Active
Div-MBD Guwahati	Cir-HO&IC Guwahati	Division	Kamrup Metro	Regional	Active
SD-ISD Jagdalpur	Div-LGD Hyderabad	Sub Div	Bastar	Regional	Active
Div-MD Gandhinagar	Cir-HOC Gandhinagar	Division	Gandhinagar	Regional	Active
Div-LGD Hyderabad	Cir-GC Hyderabad	Division	Hyderabad	Regional	Active

